* Date: Wed Nov 30 11:53:47 2005  Remote_host:   Remote_address: 209.159.209.176  status: joker  visit: forcourse  where: Oglala Lakota College - Pine Ridge Reservation, South Dakota

* Date: Wed Nov 30 14:36:02 2005  Remote_host:   Remote_address: 198.97.67.58  status: instructor  visit: forcourse  where: 

* Date: Thu Dec  1 03:54:33 2005  Remote_host:   Remote_address: 136.242.127.198  status: joker  visit:   where: 

* Date: Thu Dec  1 07:34:40 2005  Remote_host:   Remote_address: 61.1.39.244  status: student  visit: justtrying  where: bbit,v.v.nagar

* Date: Thu Dec  1 07:39:57 2005  Remote_host:   Remote_address: 61.1.39.244  status: student  visit: justtrying  where: bbit

* Date: Sat Dec  3 07:16:55 2005  Remote_host:   Remote_address: 152.163.100.8  status: student  visit: joker  where: 

* Date: Sat Dec  3 07:24:30 2005  Remote_host:   Remote_address: 195.157.202.156  status: joker  visit: justtrying  where: London UK

* Date: Sun Dec  4 19:14:17 2005  Remote_host:   Remote_address: 210.11.168.25  status:   visit:   where: 

* Date: Mon Dec  5 08:29:15 2005  Remote_host:   Remote_address: 207.248.40.238  status: joker  visit: justtrying  where: 

* Date: Wed Dec  7 14:06:20 2005  Remote_host:   Remote_address: 156.80.106.177  status: student  visit: justtrying  where: mclean

* Date: Wed Dec  7 18:16:43 2005  Remote_host:   Remote_address: 128.61.41.164  status: student  visit:   where: 

* Date: Wed Dec  7 21:56:50 2005  Remote_host:   Remote_address: 72.136.35.141  status: joker  visit: justtrying  where: 

* Date: Thu Dec  8 07:57:32 2005  Remote_host:   Remote_address: 212.190.201.133  status: student  visit: justtrying  where: 

* Date: Fri Dec  9 10:20:14 2005  Remote_host:   Remote_address: 12.202.101.189  status: student  visit:   where: 

* Date: Sat Dec 10 22:25:14 2005  Remote_host:   Remote_address: 24.151.168.196  status: joker  visit: justtrying  where: 

* Date: Mon Dec 12 17:14:24 2005  Remote_host:   Remote_address: 199.41.197.24  status:   visit:   where: 

* Date: Mon Dec 12 20:09:53 2005  Remote_host:   Remote_address: 203.25.1.208  status: joker  visit: justtrying  where: DPI&F

* Date: Thu Dec 15 05:14:51 2005  Remote_host:   Remote_address: 130.208.165.5  status: student  visit: forcourse  where: University of Iceland, Reykjavík

* Date: Thu Dec 15 22:50:25 2005  Remote_host:   Remote_address: 70.105.101.100  status: instructor  visit: forcourse  where: Troy High School Ohio

* Date: Mon Dec 19 10:54:14 2005  Remote_host:   Remote_address: 195.76.252.26  status: student  visit: joker  where: Telecomunication Engineering, UPC (Politechnical University of Catalonia), Castelldefels (Barcelona)

* Date: Mon Dec 26 03:05:02 2005  Remote_host:   Remote_address: 203.101.119.52  status: student  visit: justtrying  where: KUK

* Date: Tue Dec 27 10:00:55 2005  Remote_host:   Remote_address: 62.216.102.123  status: student  visit: forcourse  where: Helsinki University of Technology, Finland

* Date: Wed Dec 28 15:36:07 2005  Remote_host:   Remote_address: 152.23.61.208  status: instructor  visit: justtrying  where: Korea / Seoul

* Date: Thu Dec 29 04:37:51 2005  Remote_host:   Remote_address: 195.42.249.134  status: student  visit: forcourse  where: Chartered Financial Analyst Institute Program

* Date: Fri Dec 30 22:36:05 2005  Remote_host:   Remote_address: 71.197.64.178  status: student  visit: justtrying  where: FDI, Folsom,CA

* Date: Sun Jan  1 14:27:13 2006  Remote_host:   Remote_address: 207.172.73.186  status: instructor  visit: forcourse  where: U-Mass

* Date: Wed Jan  4 04:57:21 2006  Remote_host:   Remote_address: 62.6.139.12  status: student  visit: forcourse  where: Birkbeck college, University of London

* Date: Thu Jan  5 22:29:34 2006  Remote_host:   Remote_address: 156.56.74.211  status:   visit:   where: just me, JKK, checking up on things

* Date: Sun Jan  8 02:38:05 2006  Remote_host:   Remote_address: 24.131.43.117  status:   visit:   where: 

* Date: Mon Jan  9 17:55:03 2006  Remote_host:   Remote_address: 81.79.48.76  status: student  visit: justtrying  where: birkbeck london

* Date: Tue Jan 10 09:55:08 2006  Remote_host:   Remote_address: 83.137.240.214  status: joker  visit: joker  where: Gaz de France, St. Denis

* Date: Thu Jan 12 00:44:57 2006  Remote_host:   Remote_address: 67.21.93.153  status:   visit:   where: 

* Date: Thu Jan 12 04:57:26 2006  Remote_host:   Remote_address: 195.56.84.50  status: student  visit: justtrying  where: opz

* Date: Thu Jan 12 12:59:40 2006  Remote_host:   Remote_address: 63.119.35.178  status: joker  visit: justtrying  where: 

* Date: Fri Jan 13 08:44:29 2006  Remote_host:   Remote_address: 193.128.25.20  status:   visit:   where: 

* Date: Sat Jan 14 18:14:45 2006  Remote_host:   Remote_address: 87.196.53.40  status: student  visit:   where: 

* Date: Sun Jan 15 18:09:40 2006  Remote_host:   Remote_address: 80.193.211.68  status: student  visit: forcourse  where: 

* Date: Mon Jan 16 17:20:02 2006  Remote_host:   Remote_address: 80.193.211.67  status: student  visit: forcourse  where: 

* Date: Mon Jan 16 18:54:34 2006  Remote_host:   Remote_address: 80.193.211.67  status: student  visit: forcourse  where: 

* Date: Tue Jan 17 10:14:46 2006  Remote_host:   Remote_address: 192.80.55.74  status:   visit:   where: 

* Date: Wed Jan 18 01:17:10 2006  Remote_host:   Remote_address: 203.109.101.242  status:   visit: justtrying  where: Pyxis Systems Pune India

* Date: Thu Jan 19 06:41:35 2006  Remote_host:   Remote_address: 80.193.211.68  status: student  visit: forcourse  where: 

* Date: Fri Jan 20 09:32:18 2006  Remote_host:   Remote_address: 130.223.230.99  status: instructor  visit: justtrying  where: HEC, Université de Lausanne

* Date: Fri Jan 20 13:36:46 2006  Remote_host:   Remote_address: 129.252.97.215  status: student  visit: justtrying  where: 

* Date: Sun Jan 22 11:54:59 2006  Remote_host:   Remote_address: 130.206.126.65  status:   visit:   where: 

* Date: Mon Jan 23 11:59:13 2006  Remote_host:   Remote_address: 64.254.97.10  status: student  visit: joker  where: Universidad de GDL

* Date: Tue Jan 24 14:34:15 2006  Remote_host:   Remote_address: 129.79.173.59  status: instructor  visit: justtrying  where: IUB Political Science

* Date: Tue Jan 24 22:30:14 2006  Remote_host:   Remote_address: 71.65.78.62  status: student  visit: forcourse  where: Univ of Dayton

* Date: Wed Jan 25 18:40:12 2006  Remote_host:   Remote_address: 12.170.153.3  status: instructor  visit: justtrying  where: Dept of Civiel Engineering Transportation. Universidad Politécnica de Madrid. Spain

* Date: Wed Jan 25 18:44:31 2006  Remote_host:   Remote_address: 12.170.153.3  status:   visit:   where: 

* Date: Wed Jan 25 19:14:12 2006  Remote_host:   Remote_address: 129.108.88.102  status: instructor  visit: justtrying  where: Economics, UT-El Paso

* Date: Thu Jan 26 14:11:03 2006  Remote_host:   Remote_address: 84.113.231.212  status: student  visit: forcourse  where: TU Vienna, Insurance mathematics

* Date: Mon Jan 30 13:43:28 2006  Remote_host:   Remote_address: 219.79.228.226  status: student  visit: justtrying  where: 

* Date: Mon Jan 30 14:23:34 2006  Remote_host:   Remote_address: 216.186.99.130  status: joker  visit: justtrying  where: Marysville School District, Marysville, WA

* Date: Mon Jan 30 14:24:39 2006  Remote_host:   Remote_address: 216.186.99.130  status: joker  visit: justtrying  where: Marysville School District, Marysville, WA

* Date: Tue Jan 31 10:13:24 2006  Remote_host:   Remote_address: 81.181.94.108  status: student  visit: justtrying  where: home

* Date: Wed Feb  1 09:05:24 2006  Remote_host:   Remote_address: 214.3.116.1  status: student  visit: forcourse  where: UMUC

* Date: Thu Feb  2 08:50:34 2006  Remote_host:   Remote_address: 192.171.1.126  status:   visit:   where: 

* Date: Thu Feb  2 17:19:50 2006  Remote_host:   Remote_address: 65.215.68.210  status: student  visit: joker  where: DTE Energy Trading

* Date: Fri Feb  3 00:27:48 2006  Remote_host:   Remote_address: 201.137.153.212  status: student  visit: justtrying  where: 

* Date: Fri Feb  3 16:43:11 2006  Remote_host:   Remote_address: 71.125.116.132  status: student  visit: forcourse  where: Entomology, University of Nebraska-Lincoln

* Date: Mon Feb  6 05:28:01 2006  Remote_host:   Remote_address: 220.253.101.179  status:   visit:   where: 

* Date: Mon Feb  6 09:27:36 2006  Remote_host:   Remote_address: 202.155.52.251  status: student  visit: justtrying  where: RMIT

* Date: Tue Feb  7 10:27:25 2006  Remote_host:   Remote_address: 62.252.224.16  status: student  visit: forcourse  where: 

* Date: Wed Feb  8 06:18:26 2006  Remote_host:   Remote_address: 143.167.96.165  status: student  visit: justtrying  where: University of Sheffield, UK

* Date: Wed Feb  8 13:50:32 2006  Remote_host:   Remote_address: 130.76.96.14  status: student  visit: justtrying  where: northrop grumman

* Date: Wed Feb  8 17:26:09 2006  Remote_host:   Remote_address: 71.97.128.148  status: student  visit: forcourse  where: 

* Date: Wed Feb  8 22:11:05 2006  Remote_host:   Remote_address: 57.72.66.20  status: student  visit: justtrying  where: 

* Date: Thu Feb  9 04:13:00 2006  Remote_host:   Remote_address: 80.90.81.208  status: student  visit: justtrying  where: 

* Date: Fri Feb 10 13:19:27 2006  Remote_host:   Remote_address: 69.50.44.23  status: instructor  visit: justtrying  where: Jetmore HS

* Date: Sat Feb 11 07:24:17 2006  Remote_host:   Remote_address: 85.250.218.74  status: joker  visit: joker  where: free thinker, boston, usa

* Date: Sun Feb 12 14:07:13 2006  Remote_host:   Remote_address: 69.211.120.254  status: student  visit: justtrying  where: Chicago GSB

* Date: Sun Feb 12 22:59:07 2006  Remote_host:   Remote_address: 129.113.43.42  status: student  visit: justtrying  where: 

* Date: Mon Feb 13 00:21:00 2006  Remote_host:   Remote_address: 67.186.88.234  status:   visit:   where: 

* Date: Mon Feb 13 03:57:11 2006  Remote_host:   Remote_address: 202.41.119.146  status: student  visit:   where: 

* Date: Mon Feb 13 15:41:43 2006  Remote_host:   Remote_address: 129.79.173.37  status:   visit:   where: 

* Date: Mon Feb 13 19:51:54 2006  Remote_host:   Remote_address: 209.187.134.235  status: student  visit: justtrying  where: university of miami florida

* Date: Mon Feb 13 22:34:54 2006  Remote_host:   Remote_address: 162.40.239.216  status: student  visit: forcourse  where: Mercer university

* Date: Tue Feb 14 01:11:58 2006  Remote_host:   Remote_address: 24.168.95.180  status: student  visit: forcourse  where: wagner college

* Date: Tue Feb 14 03:31:01 2006  Remote_host:   Remote_address: 81.129.14.77  status: student  visit: forcourse  where: 

* Date: Tue Feb 14 14:38:04 2006  Remote_host:   Remote_address: 128.151.71.19  status: student  visit: justtrying  where: Department of Medicine, University of Rochester, Rochester NY (Staff member, working on MBA)

* Date: Tue Feb 14 21:48:09 2006  Remote_host:   Remote_address: 161.65.16.253  status: student  visit: justtrying  where: Crop and Food Research New Zealand

* Date: Wed Feb 15 03:47:09 2006  Remote_host:   Remote_address: 165.21.154.113  status: joker  visit: joker  where: 

* Date: Wed Feb 15 12:34:58 2006  Remote_host:   Remote_address: 132.230.130.101  status:   visit:   where: 

* Date: Thu Feb 16 00:31:55 2006  Remote_host:   Remote_address: 206.45.176.126  status: student  visit: justtrying  where: 

* Date: Thu Feb 16 01:35:50 2006  Remote_host:   Remote_address: 202.84.252.18  status:   visit:   where: 

* Date: Sat Feb 18 15:05:12 2006  Remote_host:   Remote_address: 198.31.188.200  status: student  visit: forcourse  where: Morris Catholic High School

* Date: Sun Feb 19 20:09:04 2006  Remote_host:   Remote_address: 35.11.155.65  status: student  visit: forcourse  where: Michigan State University

* Date: Mon Feb 20 00:29:37 2006  Remote_host:   Remote_address: 149.159.133.89  status: instructor  visit: justtrying  where: visiting scholorship come from Taiwan

* Date: Mon Feb 20 08:38:19 2006  Remote_host:   Remote_address: 193.140.211.112  status: student  visit: justtrying  where: Bogazici University, Department of Chemical Engineering, Istanbul- TURKEY

* Date: Wed Feb 22 01:37:18 2006  Remote_host:   Remote_address: 59.93.1.56  status: student  visit: justtrying  where: Mathematics,M.G.university,Kottayam,kerala

* Date: Wed Feb 22 09:09:05 2006  Remote_host:   Remote_address: 192.91.172.36  status:   visit:   where: 

* Date: Wed Feb 22 22:35:13 2006  Remote_host:   Remote_address: 203.76.196.162  status: student  visit: forcourse  where: School of urban & regional planning University of the Philippines

* Date: Thu Feb 23 07:37:15 2006  Remote_host:   Remote_address: 66.117.142.138  status: student  visit: justtrying  where: Cal

* Date: Thu Feb 23 09:47:40 2006  Remote_host:   Remote_address: 200.62.152.136  status: student  visit: forcourse  where: Universidad Nacional de Arequipa

* Date: Thu Feb 23 20:17:29 2006  Remote_host:   Remote_address: 128.135.226.30  status: student  visit: forcourse  where: 

* Date: Thu Feb 23 23:37:49 2006  Remote_host:   Remote_address: 203.200.61.237  status: student  visit: justtrying  where: 

* Date: Fri Feb 24 09:30:37 2006  Remote_host:   Remote_address: 165.89.84.86  status:   visit:   where: 

* Date: Fri Feb 24 12:57:13 2006  Remote_host:   Remote_address: 144.92.135.12  status:   visit:   where: 

* Date: Fri Feb 24 17:43:05 2006  Remote_host:   Remote_address: 216.231.34.87  status: joker  visit: forcourse  where: university of washington, stat 311

